person,date,weight
BK,2018-01-06,215.7
BK,2018-01-07,214.8
BK,2018-01-08,214.4
BK,2018-01-09,214
BK,2018-01-10,214.3
BK,2018-01-11,213.1
BK,2018-01-12,215.5
NoushDog,2018-01-09,115
RoryBoo,2018-01-09,167
Snowzy,2018-01-09,152
NoushDog,2018-01-12,114.2
BK,2018-01-13,216.2
ZarZar,2018-01-13,149
NoushDog,2018-01-13,113.2
RoryBoo,2018-01-09,167.2
RoryBoo,2018-01-10,166.2
RoryBoo,2018-01-12,166.4
RoryBoo,2018-01-13,166.4
BK,2018-01-14,216.4
NoushDog,2018-01-14,114.5
ZarZar,2018-01-14,148.7
BK,2018-01-15,215.2
BK,2018-01-16,211.1
NoushDog,2018-01-16,113.8
ZarZar,2018-01-16,146.8
ZarZar,2018-01-15,149.1
ZarZar,2018-01-15,149.1
RoryBoo,2018-01-16,168
Snowzy,2018-01-14,152
BZ,2018-01-15,195
BK,2018-01-17,212.9
Snowzy,2018-01-17,149.6
NoushDog,2018-01-17,113.8
BK,2018-01-18,209.9
RoryBoo,2018-01-18,167.8
RoryBoo,2018-01-19,168.8
BK,2018-01-19,209.4
ZarZar,2018-01-19,148.3
RoryBoo,2018-01-20,168.2
BK,2018-01-20,210.4
BK,2018-01-21,210.4
NoushDog,2018-01-20,114.7
NoushDog,2018-01-21,114.7
RoryBoo,2018-01-21,167.8
RoryBoo,2018-01-22,165.8
BK,2018-01-22,211.9
ZarZar,2018-01-22,149.1
RoryBoo,2018-01-23,164.4
NoushDog,2018-01-22,115
BK,2018-01-23,212.1
Snowzy,2018-01-23,150.02
ZarZar,2018-01-23,147.8
RoryBoo,2018-01-24,165.4
BK,2018-01-24,211.4
Snowzy,2018-01-24,149.6
ZarZar,2018-01-24,147.6
RoryBoo,2018-01-25,165.1
BK,2018-01-25,212.2
RoryBoo,2018-01-26,164
NoushDog,2018-01-26,113.1
NoushDog,2018-01-25,113.9
BK,2018-01-26,212.4
BK,2018-01-27,212.2
BK,2018-01-28,211.8
RoryBoo,2018-01-29,164.2
BK,2018-01-29,208.4
ZarZar,2018-01-29,149.1
BK,2018-01-30,207.2
RoryBoo,2018-01-31,164.4
BK,2018-01-31,207.8
RoryBoo,2018-02-01,163.2
BK,2018-02-01,207.9
Snowzy,2018-02-01,149
RoryBoo,2018-02-02,163
BK,2018-02-02,209.5
RoryBoo,2018-02-03,163
BK,2018-02-03,207.6
NoushDog,2018-02-02,114.3
NoushDog,2018-02-03,114.4
RoryBoo,2018-02-04,162.4
BK,2018-02-04,207.1
BK,2018-02-05,208.8
RoryBoo,2018-02-06,162.2
ZarZar,2018-02-05,147.5
BK,2018-02-06,208.6
RoryBoo,2018-02-07,163
BK,2018-02-07,209
BK,2018-02-08,209.4
BK,2018-02-09,206.6
BK,2018-02-10,205.5
BK,2018-02-11,205.5
BK,2018-02-12,205.8
RoryBoo,2018-02-13,163.4
Snowzy,2018-02-13,149.6
BK,2018-02-13,203.6
NoushDog,2018-02-13,112.7
BK,2018-02-14,204.9
RoryBoo,2018-02-15,162.8
BK,2018-02-15,207.3
RoryBoo,2018-02-16,161.4
BK,2018-02-16,206.1
BK,2018-02-17,204.9
BK,2018-02-18,204.1
BK,2018-02-19,204.1
Snowzy,2018-02-20,151
BK,2018-02-20,203.2
RoryBoo,2018-02-21,162
BK,2018-02-21,205.6
RoryBoo,2018-02-22,161.6
BK,2018-02-22,205
NoushDog,2018-02-22,110.8
ZarZar,2018-02-22,147.3
RoryBoo,2018-02-23,160.2
BK,2018-02-23,204.3
BK,2018-02-24,205.5
BK,2018-02-25,202.9
BK,2018-02-26,200.7
BK,2018-02-27,199.3
BK,2018-02-28,197.5
BK,2018-03-01,196.8
BK,2018-03-02,197.6
Snowzy,2018-03-02,149.6
NoushDog,2018-03-01,111.8
BK,2018-03-03,198
BK,2018-03-04,198.4
BK,2018-03-05,198.3
BK,2018-03-06,197
Snowzy,2018-03-06,149.2
Snowzy,2018-03-07,149
BK,2018-03-07,198.7
BK,2018-03-08,200.4
BK,2018-03-09,201.7
RoryBoo,2018-03-08,164
NoushDog,2018-03-10,111.7
RoryBoo,2018-03-12,163.6
RoryBoo,2018-03-13,161.6
Snowzy,2018-03-14,149
BK,2018-03-10,202.4
RoryBoo,2018-03-16,161.6
RoryBoo,2018-03-17,161.6
RoryBoo,2018-03-18,159.4
Snowzy,2018-03-18,150.4
RoryBoo,2018-03-21,161.2
BK,2018-03-27,201.6
BK,2018-03-16,208.6
RoryBoo,2018-03-28,161.4
BK,2018-03-28,203.2
BK,2018-03-29,202.7
BK,2018-03-30,202.6
NoushDog,2018-03-30,111.5
RoryBoo,2018-03-31,163.4
BK,2018-03-31,203.5
BK,2018-04-01,203.4
Snowzy,2018-04-02,149.8
BK,2018-04-02,203.3
